country_name,bureau_index_wgi,gdp_pc_log,vdem_libdem
Finland,1.8218330109478031,10.71407847676719,0.835
Norway,1.8191276466777075,11.229065491690552,0.856
New Zealand,1.8047505234248655,10.586783340255296,0.837
Denmark,1.7498379198009104,10.93129801363962,0.882
Luxembourg,1.749624497953108,11.553378515705052,0.794
Switzerland,1.7476023416970332,11.343734663126178,0.857
Liechtenstein,1.7304693217728688,,
Sweden,1.6827839956184336,10.858088451081027,0.873
Singapore,1.6821112766376205,10.988268140096688,0.332
Netherlands (the),1.6673023493624015,10.742966759525396,0.814
