,bureau_index_wgi,bureau_index_wgi_pca,bureau_index_core
bureau_index_wgi,1.0,0.9953792005421148,0.9771269973950889
bureau_index_wgi_pca,0.9953792005421148,1.0,0.986862323311609
bureau_index_core,0.9771269973950889,0.986862323311609,1.0
